,stop_id,name,lat,lon
198,1004,Dupont St At Dufferin St,43.66836,-79.43914
199,5805,Mt Pleasant Rd At Bowood Ave,43.7297199,-79.3981499
200,4918,Craigton Dr At Pharmacy Ave,43.7270799,-79.29843
201,14955,Finch Station,43.7804899,-79.41481
202,2569,Finch Ave East At Warden Ave,43.7965799,-79.31601
203,4764,Airport Rd At Northwest Dr,43.6989099,-79.63634
204,5711,Midland Ave At Kilcullen Castle Gate North Side,43.80993,-79.28999
205,1401,Neilson Rd At Sheppard Ave East,43.7982799,-79.2178899
206,5705,Midland Ave At Goodland Gate,43.77904,-79.27538
207,6278,Cactus Ave At Drewry Ave North Side,43.7844599,-79.43146
208,2406,Eglinton Ave West At Scarlett Rd,43.6837899,-79.51156
209,10631,North Queen St At Nova Rd,43.6162899,-79.5571399
210,11873,300 Atkinson Ave,43.8154799,-79.4436699
211,14760,Scarborough Centre Station,43.7741699,-79.25856
212,5112,Gulliver Rd At Culford Rd,43.6978399,-79.48373
213,0894,Danforth Ave At Hillingdon Ave,43.6837699,-79.32129
214,10002,McCowan Rd At 16th Ave,43.8850299,-79.2886999
215,14835,William R Allen Rd At Rimrock Rd,43.75799,-79.4651699
216,7655,Dufferin St At Martin Ross Ave,43.77528,-79.46857
217,15015,Morningstar Dr At Cambrett Dr,43.71728,-79.6452399
218,10447,2900 Jane St,43.75264,-79.51665
219,4531,Progress Ave At William Kitchen Rd West Side,43.7701599,-79.27927
220,8311,Steeles Ave West At Thurman Rd,43.7910599,-79.45274
221,4608,Spadina Rd At Burton Rd,43.6929899,-79.4145699
222,2121,Dundas St East At Munro St,43.6621599,-79.35283
223,14637,Broadview Station,43.6767699,-79.35845
224,5584,Markham Rd At Stevenwood Rd North Side,43.7559499,-79.2239799
225,8187,St Clair Ave West At Warren Rd East Side,43.68563,-79.4057799
226,15925,Danforth Ave At Dawes Rd,43.6892899,-79.29647
227,1416,O'Connor Dr At Milton Rd West Side,43.69722,-79.3323799
228,4141,King St East At Parliament St,43.6529099,-79.36302
229,8426,2793 Victoria Park Ave,43.7824199,-79.3262599
230,11695,Shaw St At King St West North Side,43.6417899,-79.41506
